nom_exp,default_len,w_e_len,s1_n1_len,s2_n2_len,middle_len,stop_generation_time,w_e_flow,s1_n1_flow,s2_n2_flow,w_e_speed,s1_n1_speed,s2_n2_speed,w1_e1_green_time,s1_n1_green_time,w2_e2_green_time,s2_n2_green_time,yellow_time,simulation_duration,loaded_900,inserted_900,running_900,waiting_900,ended_900,halting_900,stopped_900,meanWaitingTime_900,meanTravelTime_900,meanSpeed_900,loaded_1800,inserted_1800,running_1800,waiting_1800,ended_1800,halting_1800,stopped_1800,meanWaitingTime_1800,meanTravelTime_1800,meanSpeed_1800,loaded_2700,inserted_2700,running_2700,waiting_2700,ended_2700,halting_2700,stopped_2700,meanWaitingTime_2700,meanTravelTime_2700,meanSpeed_2700,loaded_3600,inserted_3600,running_3600,waiting_3600,ended_3600,halting_3600,stopped_3600,meanWaitingTime_3600,meanTravelTime_3600,meanSpeed_3600
exp_carrefour_double_tous_parametres_variables23,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,120,10,90,3,3601,150.0,150.0,17.0,0.0,133.0,17.0,0.0,0.08,96.47,0.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,120.74,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,120.74,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.08,120.74,-1.0
exp_carrefour_double_tous_parametres_variables0,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,10,3,3601,150.0,150.0,3.0,0.0,147.0,0.0,0.0,0.01,39.11,9.3,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.16,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.16,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,39.16,-1.0
exp_carrefour_double_tous_parametres_variables1,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,30,3,3601,150.0,150.0,3.0,0.0,147.0,0.0,0.0,0.0,44.59,8.38,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,44.95,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,44.95,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.0,44.95,-1.0
exp_carrefour_double_tous_parametres_variables2,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,60,3,3601,150.0,150.0,3.0,0.0,147.0,2.0,0.0,0.03,48.81,3.17,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,49.02,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,49.02,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,49.02,-1.0
exp_carrefour_double_tous_parametres_variables3,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,90,3,3601,150.0,150.0,3.0,0.0,147.0,2.0,0.0,0.03,53.74,3.51,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,54.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,54.42,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,54.42,-1.0
exp_carrefour_double_tous_parametres_variables4,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,10,10,120,3,3601,150.0,150.0,19.0,0.0,131.0,18.0,0.0,0.01,83.24,0.55,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,119.56,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,119.56,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.01,119.56,-1.0
exp_carrefour_double_tous_parametres_variables5,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,10,3,3601,150.0,150.0,7.0,0.0,143.0,1.0,0.0,0.03,45.02,5.73,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,45.41,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,45.41,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.03,45.41,-1.0
exp_carrefour_double_tous_parametres_variables6,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,30,3,3601,150.0,150.0,4.0,0.0,146.0,0.0,0.0,0.05,46.65,9.96,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.7,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.7,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.05,46.7,-1.0
exp_carrefour_double_tous_parametres_variables7,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,60,3,3601,150.0,150.0,7.0,0.0,143.0,3.0,0.0,0.07,50.88,6.62,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,51.19,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,51.19,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.07,51.19,-1.0
exp_carrefour_double_tous_parametres_variables8,100,100,100,100,100,100,100,100,900,100,100,100,100,100,100,30,10,30,10,90,3,3601,150.0,150.0,5.0,0.0,145.0,3.0,0.0,0.02,56.79,3.14,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,57.37,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,57.37,-1.0,150.0,150.0,0.0,0.0,150.0,0.0,0.0,0.02,57.37,-1.0
